iter	Passed	Remaining
619	9629	5902
620	9646	5887
621	9660	5871
622	9675	5854
623	9689	5838
624	9703	5822
625	9717	5805
626	9732	5789
627	9747	5773
628	9761	5757
629	9776	5741
630	9790	5725
631	9805	5709
632	9819	5693
633	9834	5677
634	9848	5660
635	9864	5645
636	9878	5629
637	9893	5613
638	9911	5599
639	9933	5587
640	9951	5573
641	9971	5560
642	9996	5549
643	10010	5533
644	10025	5517
645	10048	5506
646	10064	5491
647	10078	5474
648	10099	5461
649	10115	5446
650	10139	5435
651	10162	5423
652	10181	5410
653	10195	5394
654	10210	5377
655	10224	5361
656	10238	5345
657	10252	5328
658	10267	5312
659	10281	5296
660	10296	5280
661	10311	5264
662	10325	5248
663	10338	5231
664	10353	5215
665	10368	5199
666	10382	5183
667	10397	5167
668	10411	5151
669	10425	5135
670	10439	5118
671	10453	5102
672	10468	5086
673	10482	5070
674	10498	5054
675	10511	5038
676	10526	5022
677	10540	5005
678	10554	4989
679	10569	4974
680	10583	4957
681	10597	4941
682	10611	4925
683	10625	4908
684	10640	4892
685	10654	4876
686	10669	4860
687	10683	4844
688	10697	4828
689	10712	4812
690	10726	4796
691	10740	4780
692	10754	4764
693	10768	4748
694	10782	4731
695	10796	4715
696	10810	4699
697	10824	4683
698	10838	4667
699	10853	4651
700	10868	4635
701	10882	4619
702	10897	4603
703	10911	4587
704	10925	4571
705	10940	4555
706	10959	4542
707	10982	4529
708	11004	4516
709	11018	4500
710	11033	4484
711	11059	4473
712	11086	4462
713	11102	4447
714	11116	4431
715	11132	4415
716	11148	4400
717	11162	4384
718	11181	4369
719	11207	4358
720	11234	4347
721	11258	4334
722	11272	4318
723	11286	4302
724	11301	4286
725	11315	4270
726	11329	4254
727	11343	4238
728	11358	4222
729	11372	4206
730	11386	4190
731	11401	4174
732	11415	4158
733	11429	4142
734	11444	4126
735	11458	4110
736	11473	4094
737	11488	4078
738	11503	4062
739	11517	4046
740	11532	4030
741	11546	4014
742	11561	3999
743	11575	3983
744	11589	3967
745	11603	3950
746	11618	3935
747	11634	3919
748	11648	3903
749	11662	3887
750	11676	3871
751	11690	3855
752	11705	3839
753	11720	3823
754	11734	3807
755	11748	3791
756	11763	3776
757	11778	3760
758	11792	3744
759	11806	3728
760	11819	3712
761	11835	3696
762	11849	3680
763	11863	3664
764	11877	3648
765	11891	3632
766	11906	3616
767	11920	3600
768	11934	3585
769	11951	3569
770	11965	3553
771	11979	3537
772	11993	3522
773	12012	3507
774	12032	3493
775	12057	3480
776	12076	3466
777	12105	3454
778	12121	3438
779	12139	3424
780	12154	3408
781	12168	3392
782	12182	3376
783	12196	3360
784	12210	3344
785	12224	3328
786	12245	3314
787	12270	3301
788	12291	3287
789	12306	3271
790	12320	3255
791	12333	3239
792	12347	3223
793	12362	3207
794	12376	3191
795	12390	3175
796	12404	3159
797	12419	3143
798	12433	3127
799	12448	3112
800	12461	3096
801	12476	3080
802	12491	3064
803	12506	3048
804	12520	3032
805	12535	3017
806	12549	3001
807	12563	2985
808	12578	2969
809	12592	2953
810	12607	2938
811	12622	2922
812	12636	2906
813	12651	2890
814	12665	2875
815	12679	2859
816	12693	2843
817	12708	2827
818	12723	2811
819	12737	2796
820	12751	2780
821	12766	2764
822	12780	2748
823	12794	2732
824	12808	2716
825	12822	2701
826	12837	2685
827	12851	2669
828	12865	2653
829	12879	2637
830	12893	2622
831	12908	2606
832	12923	2590
833	12938	2575
834	12952	2559
835	12967	2543
836	12981	2528
837	12996	2512
838	13011	2496
839	13026	2481
840	13040	2465
841	13064	2451
842	13087	2437
843	13102	2421
844	13118	2406
845	13136	2391
846	13162	2377
847	13178	2362
848	13192	2346
849	13208	2330
850	13221	2314
851	13236	2299
852	13250	2283
853	13264	2267
854	13278	2251
855	13306	2238
856	13323	2223
857	13338	2207
858	13354	2191
859	13375	2177
860	13389	2161
861	13403	2145
862	13417	2129
863	13432	2114
864	13446	2098
865	13462	2083
866	13476	2067
867	13490	2051
868	13503	2035
869	13518	2019
870	13532	2004
871	13546	1988
872	13560	1972
873	13574	1956
874	13588	1941
875	13602	1925
876	13616	1909
877	13630	1893
878	13644	1878
879	13658	1862
880	13672	1846
881	13687	1831
882	13700	1815
883	13716	1799
884	13741	1785
885	13761	1770
886	13793	1757
887	13813	1742
888	13836	1727
889	13867	1713
890	13894	1699
891	13912	1684
892	13931	1669
893	13947	1653
894	13965	1638
895	13982	1622
896	13998	1607
897	14013	1591
898	14034	1576
899	14052	1561
900	14073	1546
901	14088	1530
902	14104	1515
903	14128	1500
904	14152	1485
905	14175	1470
906	14198	1455
907	14227	1441
908	14247	1426
909	14262	1410
910	14276	1394
911	14290	1378
912	14304	1363
913	14318	1347
914	14333	1331
915	14347	1315
916	14363	1300
917	14388	1285
918	14404	1269
919	14424	1254
920	14445	1239
921	14461	1223
922	14475	1207
923	14489	1191
924	14504	1176
925	14518	1160
926	14532	1144
927	14546	1128
928	14561	1112
929	14578	1097
930	14592	1081
931	14606	1065
932	14620	1049
933	14634	1034
934	14649	1018
935	14663	1002
936	14677	986
937	14691	971
938	14705	955
939	14719	939
940	14734	923
941	14748	908
942	14762	892
943	14775	876
944	14789	860
945	14804	845
946	14820	829
947	14835	813
948	14849	798
949	14864	782
950	14877	766
951	14891	750
952	14906	735
953	14920	719
954	14935	703
955	14949	688
956	14963	672
957	14978	656
958	14991	640
959	15007	625
960	15021	609
961	15045	594
962	15065	578
963	15079	563
964	15094	547
965	15108	531
966	15122	516
967	15137	500
968	15151	484
969	15165	469
970	15190	453
971	15206	438
972	15223	422
973	15249	407
974	15275	391
975	15293	376
976	15307	360
977	15321	344
978	15335	328
979	15349	313
980	15363	297
981	15377	281
982	15391	266
983	15405	250
984	15420	234
985	15438	219
986	15465	203
987	15484	188
988	15503	172
989	15518	156
990	15532	141
991	15546	125
992	15560	109
993	15575	94
994	15591	78
995	15605	62
996	15619	46
997	15634	31
998	15648	15
999	15662	0
